Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flujo Completo 40 pies,Chrome 80.0.3987.132,,,2020-03-10 11:03:09,2020-03-10 11:34:34,"31m - 25,442s",PASSED
,,,,,,,
Test Cases/Generar_Excels_Secuencias/TC_Generar_Excel_Pedidos_40pies,Chrome 80.0.3987.132,,,2020-03-10 11:03:09,2020-03-10 11:03:20,"11,086s",PASSED
"python.ejecutarAleatoriosPython.runPython(""Crear40"")",Chrome 80.0.3987.132,,,2020-03-10 11:03:10,2020-03-10 11:03:20,"10,692s",PASSED
,,,,,,,
Test Cases/Secuencias de Ejecucion/TC_Crear_Pedido_40pies,Chrome 80.0.3987.132,,,2020-03-10 11:03:20,2020-03-10 11:11:51,"8m - 30,355s",PASSED
archivo = $RunConfiguration.getProjectDir()/Pedidos/DataExcel/Crear_Pedido40pies.xlsx,Chrome 80.0.3987.132,,,2020-03-10 11:03:21,2020-03-10 11:03:21,"0,075s",PASSED
"excelData = getExcelDataWithDefaultSheet(archivo, ""Sheet1"", true)",Chrome 80.0.3987.132,,,2020-03-10 11:03:21,2020-03-10 11:03:21,"0,800s",PASSED
"for ([Index = 1, Index <= excelData.getRowNumbers(), (Index++)])",Chrome 80.0.3987.132,,,2020-03-10 11:03:21,2020-03-10 11:11:51,"8m - 29,083s",PASSED
,,,,,,,
Test Cases/Generar_Excels_Secuencias/TC_Generar_Excel_Aprobaciones,Chrome 80.0.3987.132,,,2020-03-10 11:11:51,2020-03-10 11:11:55,"4,087s",PASSED
"python.ejecutarAleatoriosPython.runPython(""Aprobar"")",Chrome 80.0.3987.132,,,2020-03-10 11:11:51,2020-03-10 11:11:55,"3,883s",PASSED
,,,,,,,
Test Cases/Secuencias de Ejecucion/TC_Aprobar_Ventas,Chrome 80.0.3987.132,,,2020-03-10 11:11:55,2020-03-10 11:13:28,"1m - 33,085s",PASSED
archivo = $RunConfiguration.getProjectDir()/Pedidos/DataExcel/AprobacionesPedidos.xlsx,Chrome 80.0.3987.132,,,2020-03-10 11:11:55,2020-03-10 11:11:55,"0,000s",PASSED
"excelData = getExcelDataWithDefaultSheet(archivo, ""Sheet1"", true)",Chrome 80.0.3987.132,,,2020-03-10 11:11:55,2020-03-10 11:11:55,"0,021s",PASSED
"for ([Index = 1, Index <= excelData.getRowNumbers(), (Index++)])",Chrome 80.0.3987.132,,,2020-03-10 11:11:55,2020-03-10 11:13:28,"1m - 32,856s",PASSED
,,,,,,,
Test Cases/Secuencias de Ejecucion/TC_Aprobar_Financiera,Chrome 80.0.3987.132,,,2020-03-10 11:13:28,2020-03-10 11:15:05,"1m - 36,845s",PASSED
