Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flujo Completo 40 pies,,,,2020-03-10 11:02:29,2020-03-10 11:02:31,"1,319s",ERROR
,,,,,,,
Test Cases/Secuencias de Ejecucion/TC_Crear_Pedido_40pies,,,,2020-03-10 11:02:30,2020-03-10 11:02:31,"0,978s",ERROR
archivo = $RunConfiguration.getProjectDir()/Pedidos/DataExcel/Crear_Pedido40pies.xlsx,,,,2020-03-10 11:02:30,2020-03-10 11:02:30,"0,087s",PASSED
"excelData = getExcelDataWithDefaultSheet(archivo, ""Sheet1"", true)",,,,2020-03-10 11:02:30,2020-03-10 11:02:31,"0,464s",PASSED
