Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flujo Completo 20 pies,,,,2020-03-11 14:05:42,2020-03-11 14:05:54,"11,820s",PASSED
,,,,,,,
Test Cases/Generar_Excels_Secuencias/TC_Generar_Excel_Pedidos_20pies,,,,2020-03-11 14:05:43,2020-03-11 14:05:49,"6,167s",PASSED
"python.ejecutarAleatoriosPython.runPython(""Crear20"")",,,,2020-03-11 14:05:43,2020-03-11 14:05:49,"5,807s",PASSED
,,,,,,,
Test Cases/Generar_Excels_Secuencias/TC_Generar_Excel_Aprobaciones,,,,2020-03-11 14:05:49,2020-03-11 14:05:54,"5,235s",PASSED
"python.ejecutarAleatoriosPython.runPython(""Aprobar"")",,,,2020-03-11 14:05:49,2020-03-11 14:05:54,"4,857s",PASSED
