Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Borrado Total Archivos,,,,2020-03-10 10:35:25,2020-03-10 10:35:26,"1,244s",PASSED
,,,,,,,
Test Cases/Secuencias de Ejecucion/TC_Remover_archivos,,,,2020-03-10 10:35:25,2020-03-10 10:35:26,"0,860s",PASSED
"python.ejecutarAleatoriosPython.runPython(""BorradoTotal"")",,,,2020-03-10 10:35:26,2020-03-10 10:35:26,"0,423s",PASSED
